Scramble,Scramble Length,Solution,Solution Length,Heuristic Type,Wall Time (ns),Node Visited
D' R' F D' L L D B',8,F R' F' F' R F' U F,8,Single L0,74462464600,1522611
L' R B' R U R' R' R',8,R' U' R' F,4,Single L0,225926300,4718
U U B F D' B R' L',8,R' R' U' R U' U' F' F',8,Single L0,153651687500,3137838
U U R U L B' U F,8,F' U' F U' R' U' F' F',8,Single L0,41356901500,859638
B' F' B' F U B U L,8,R' F' U' F' U' U',6,Single L0,5262186500,109547
B' U' D L' B' D' R R,8,R' R' U R F' F',6,Single L0,6225681600,127059
F D B F D F' R D,8,F U F' R U F,6,Single L0,2773609600,57490
F' L B' F R B' U' B',8,F R F R' F' R,6,Single L0,3196042500,65882
B D' L R' B D D F,8,F' U,2,Single L0,3765100,59
D' B B R' L' F' U L',8,R F' R F' F' U' U' R,8,Single L0,157896655400,3258601
F R' B L' B' D D R,8,R' U' U' F R F' R U',8,Single L0,140710429400,2932429
B' U D B' L' D' R L,8,R' R' F U R F' F' U,8,Single L0,152835043000,3137722
B' D' L U D F' R' D R',9,R' U R' U' R' U' F U F',9,Single L0,734919758300,15288183
L B R L' B' F B' R U,9,U' R' F U' R',5,Single L0,781670600,16351
L B D R' L' B L L F',9,R' F' R' F R' F' R,7,Single L0,26853435500,551777
L' D' F' F' R L' B B D',9,U' R' R' U' U' R' U,7,Single L0,20334014100,418886
F L B' R' R' R' B U' B,9,F' R U' R' F U' R',7,Single L0,11507246800,235701
R L' D' U L B' D L' B',9,F U R' U F',5,Single L0,584078100,11910
D' B U' B U' U' D' U B',9,F R' R' U' F R' U,7,Single L0,659518400,13480
U U R' U D' U D F R',9,R F' U' U' R U' U',7,Single L0,1306932900,27234
F U' L' F F D R' R' U,9,U' R' R' U' R' R' F U R',9,Single L0,509705193900,10510182
F' U' F R F R' R' R' R',9,F' R' F' U F,5,Single L0,21290100,438
L D' F' B U D' L R B',9,F U' U' R F',5,Single L0,535853200,11009
D R U B' L U' R F' B',9,F' F' U' F R' U F' U' R',9,Single L0,186199668300,3802780
L L B L B' D' U L' F,9,F' R' R' U' F' R' R',7,Single L0,10903668200,223913
D L B' U' L F L R L,9,R F' U' F U F' U',7,Single L0,1323413700,27848
F' D' U L R F' R' R' B',9,F U' U' F R',5,Single L0,529991100,10924
D' R U' L' F U D U' B',9,F R' U' R F U' F,7,Single L0,15358146700,315345
U,1,U',1,All L0,2493600,4
F',1,F,1,All L0,1517200,3
R',1,R,1,All L0,3577700,7
R',1,R,1,All L0,3547900,7
R,1,R',1,All L0,3051100,6
B,1,F',1,All L0,4570700,9
D,1,U',1,All L0,8541500,21
U',1,U,1,All L0,2533500,5
L,1,R',1,All L0,12578500,33
F,1,F',1,All L0,961100,2
D,1,U',1,All L0,8714400,21
D,1,U',1,All L0,8539900,21
U,1,U',1,All L0,2062300,4
L',1,R,1,All L0,14524300,39
R,1,R',1,All L0,3045900,6
D',1,U,1,All L0,10514500,27
U U,2,U' U',2,All L0,6561300,14
R L',2,,0,All L0,276200,1
L' D',2,U F,2,All L0,48140400,146
B R',2,R F',2,All L0,76062900,242
L' D,2,U' F,2,All L0,38479500,115
R L,2,R' R',2,All L0,65214400,205
L' B',2,F U,2,All L0,30377900,90
B L',2,R U',2,All L0,71171200,224
F U,2,U' F',2,All L0,3913400,10
U' B,2,F' R,2,All L0,27416000,81
F' U,2,U' F,2,All L0,4178200,11
R D',2,U F',2,All L0,47173300,145
